,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
380,JZI,Airlines,Online,Basic Plan,No,24,INDIA,35.0,12.25,M,53
381,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22.0,7.7,F,45
382,JZI,Airlines,Online,Basic Plan,No,48,INDIA,50.0,17.5,M,53
383,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,18.0,6.3,M,49
384,JZI,Airlines,Online,Basic Plan,No,7,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,M,47
385,JZI,Airlines,Online,Basic Plan,No,20,SRI LANKA,26.0,9.1,M,45
386,JZI,Airlines,Online,Basic Plan,No,6,CHINA,26.0,9.1,F,47
387,JZI,Airlines,Online,Basic Plan,No,15,THAILAND,22.0,7.7,M,49
388,JZI,Airlines,Online,Basic Plan,No,4,THAILAND,18.0,6.3,M,55
389,JZI,Airlines,Online,Basic Plan,No,48,JAPAN,26.0,9.1,F,32
390,JZI,Airlines,Online,Basic Plan,No,14,THAILAND,22.0,7.7,F,70
391,JZI,Airlines,Online,Basic Plan,No,14,MYANMAR,33.0,11.55,M,34
392,JZI,Airlines,Online,Basic Plan,No,42,CHINA,63.0,22.05,M,48
393,JZI,Airlines,Online,Basic Plan,No,13,THAILAND,22.0,7.7,M,68
394,JZI,Airlines,Online,Value Plan,No,131,UNITED KINGDOM,125.0,43.75,F,31
395,JZI,Airlines,Online,Value Plan,No,36,UNITED KINGDOM,87.0,30.45,M,51
396,JZI,Airlines,Online,Value Plan,No,202,FRANCE,149.0,52.15,M,38
397,JZI,Airlines,Online,Value Plan,No,42,CHINA,92.0,32.2,F,53
398,JZI,Airlines,Online,Value Plan,No,11,GERMANY,87.0,30.45,M,49
399,JZI,Airlines,Online,Value Plan,No,10,CHINA,45.0,15.75,M,50
400,CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29.0,9.57,F,72
401,CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29.0,9.57,F,77
402,CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29.0,9.57,M,118
403,CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29.0,9.57,F,118
404,CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29.0,9.57,M,118
405,CBH,Travel Agency,Offline,Comprehensive Plan,No,36,THAILAND,29.0,9.57,M,63
406,ART,Airlines,Online,24 Protect,No,2,PHILIPPINES,7.44,2.6,M,48
407,ART,Airlines,Online,24 Protect,No,2,THAILAND,9.48,3.32,M,48
408,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,38.35,9.59,F,71
409,C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38.35,9.59,M,45
410,C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,22.1,5.53,M,28
411,C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,38.35,9.59,F,26
412,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,F,22
413,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.25,4.31,F,60
414,C2B,Airlines,Online,Bronze Plan,No,179,SINGAPORE,682.0,170.5,M,25
415,C2B,Airlines,Online,Bronze Plan,No,33,SINGAPORE,17.25,4.31,F,30
416,C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,17.55,4.39,M,25
417,C2B,Airlines,Online,Bronze Plan,No,31,SINGAPORE,38.35,9.59,F,56
418,C2B,Airlines,Online,Silver Plan,No,18,SINGAPORE,71.0,17.75,M,42
419,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,62.25,15.56,M,33
420,C2B,Airlines,Online,Silver Plan,No,47,SINGAPORE,70.85,17.71,F,39
421,C2B,Airlines,Online,Silver Plan,No,61,SINGAPORE,25.9,6.47,M,37
422,C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,25.9,6.47,M,42
423,C2B,Airlines,Online,Gold Plan,No,26,SINGAPORE,119.0,29.75,M,48
424,C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,187.85,46.96,M,32
425,C2B,Airlines,Online,Annual Silver Plan,No,374,SINGAPORE,252.85,63.21,F,42
426,C2B,Airlines,Online,Annual Silver Plan,No,386,SINGAPORE,252.85,63.21,F,33
427,C2B,Airlines,Online,Annual Gold Plan,No,369,SINGAPORE,389.35,97.34,M,42
562,JWT,Airlines,Online,Value Plan,No,10,INDIA,31.0,12.4,M,118
563,JWT,Airlines,Online,Value Plan,No,18,INDIA,0.0,28.8,M,118
564,JWT,Airlines,Online,Value Plan,No,7,INDIA,62.0,24.8,M,118
565,JWT,Airlines,Online,Value Plan,No,12,INDIA,60.0,24.0,M,118
566,JWT,Airlines,Online,Value Plan,No,15,INDIA,50.0,20.0,M,118
567,KML,Travel Agency,Online,Value Plan,No,40,INDONESIA,28.0,10.64,F,48
568,KML,Travel Agency,Online,Value Plan,No,38,NETHERLANDS,75.0,28.5,M,48
569,KML,Travel Agency,Online,Value Plan,No,111,GERMANY,95.0,36.1,F,48
572,RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15.0,6.0,M,39
575,JZI,Airlines,Online,Basic Plan,No,7,INDONESIA,30.0,10.5,F,35
576,JZI,Airlines,Online,Basic Plan,No,97,JAPAN,44.0,15.4,F,20
577,JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,33.0,11.55,M,63
578,JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,30.0,10.5,M,60
579,JZI,Airlines,Online,Basic Plan,No,8,MACAO,26.0,9.1,M,57
580,JZI,Airlines,Online,Basic Plan,No,8,INDONESIA,18.0,6.3,F,25
581,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,22.0,7.7,F,35
582,JZI,Airlines,Online,Basic Plan,No,10,CHINA,26.0,9.1,M,42
583,JZI,Airlines,Online,Basic Plan,No,118,THAILAND,22.0,7.7,F,34
584,JZI,Airlines,Online,Basic Plan,No,39,HONG KONG,26.0,9.1,F,68
585,JZI,Airlines,Online,Basic Plan,No,12,PHILIPPINES,18.0,6.3,M,34
586,JZI,Airlines,Online,Basic Plan,No,12,HONG KONG,26.0,9.1,F,43
587,JZI,Airlines,Online,Basic Plan,No,73,CHINA,26.0,9.1,M,41
588,JZI,Airlines,Online,Basic Plan,No,22,THAILAND,30.0,10.5,M,60
589,JZI,Airlines,Online,Value Plan,No,142,AUSTRALIA,58.0,20.3,F,24
590,JZI,Airlines,Online,Value Plan,No,4,CHINA,36.0,12.6,M,47
591,JZI,Airlines,Online,Value Plan,No,18,UNITED STATES,121.0,42.35,M,35
592,JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69.0,24.15,M,44
593,JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69.0,24.15,M,41
594,ART,Airlines,Online,24 Protect,No,351,PHILIPPINES,29.19,10.22,M,48
595,C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,23.8,5.95,F,34
596,C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,35.25,8.81,F,27
597,C2B,Airlines,Online,Bronze Plan,No,100,SINGAPORE,202.0,50.5,M,34
598,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,23.4,5.85,F,30
599,C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,71.0,17.75,F,26
600,C2B,Airlines,Online,Bronze Plan,No,8,SINGAPORE,17.55,4.39,M,29
601,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,74.25,18.56,M,27
602,C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,24.05,6.01,F,38
603,C2B,Airlines,Online,Silver Plan,No,68,SINGAPORE,24.05,6.01,M,47
604,C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62.25,15.56,F,27
605,C2B,Airlines,Online,Silver Plan,No,23,SINGAPORE,108.0,27.0,M,29
606,C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,127.0,31.75,F,30
607,C2B,Airlines,Online,Annual Gold Plan,No,368,SINGAPORE,389.35,97.34,M,50
731,JWT,Airlines,Online,Value Plan,No,15,INDIA,60.0,24.0,M,118
732,JWT,Airlines,Online,Value Plan,No,47,INDIA,39.0,15.6,M,118
733,JWT,Airlines,Online,Value Plan,No,2,INDIA,42.0,16.8,F,118
734,JWT,Airlines,Online,Value Plan,No,25,INDIA,31.0,12.4,M,118
735,JWT,Airlines,Online,Value Plan,No,5,INDIA,195.0,78.0,M,118
736,KML,Travel Agency,Online,Value Plan,No,13,INDONESIA,48.0,18.24,F,48
737,RAB,Airlines,Online,Value Plan,No,8,BRUNEI DARUSSALAM,23.0,9.2,M,54
738,RAB,Airlines,Online,Value Plan,No,8,BRUNEI DARUSSALAM,15.0,6.0,M,47
741,JZI,Airlines,Online,Basic Plan,No,12,THAILAND,30.0,10.5,M,51
742,JZI,Airlines,Online,Basic Plan,No,75,"KOREA, REPUBLIC OF",26.0,9.1,F,23
743,JZI,Airlines,Online,Basic Plan,No,9,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,41
744,JZI,Airlines,Online,Basic Plan,No,9,MACAO,22.0,7.7,M,70
745,JZI,Airlines,Online,Basic Plan,No,3,THAILAND,18.0,6.3,M,56
746,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18.0,6.3,M,53
747,JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18.0,6.3,M,53
748,JZI,Airlines,Online,Basic Plan,No,11,MACAO,35.0,12.25,F,53
749,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,0.0,6.3,M,29
750,JZI,Airlines,Online,Basic Plan,No,25,INDONESIA,22.0,7.7,M,45
751,JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18.0,6.3,M,47
752,JZI,Airlines,Online,Basic Plan,No,27,THAILAND,30.0,10.5,M,40
753,JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,35.0,12.25,M,28
754,JZI,Airlines,Online,Basic Plan,No,178,INDONESIA,30.0,10.5,F,45
755,JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18.0,6.3,M,38
756,JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18.0,6.3,M,65
757,JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,22.0,7.7,M,67
758,JZI,Airlines,Online,Basic Plan,No,1,THAILAND,18.0,6.3,F,25
759,JZI,Airlines,Online,Basic Plan,No,10,JAPAN,35.0,12.25,F,61
760,JZI,Airlines,Online,Value Plan,No,12,"KOREA, REPUBLIC OF",58.0,20.3,M,43
761,JZI,Airlines,Online,Value Plan,No,80,UNITED ARAB EMIRATES,109.0,38.15,F,29
762,JZI,Airlines,Online,Value Plan,No,32,JAPAN,69.0,24.15,M,37
763,CSR,Travel Agency,Offline,Comprehensive Plan,No,35,THAILAND,29.0,9.57,M,26
765,CBH,Travel Agency,Offline,Comprehensive Plan,No,25,CHINA,0.0,16.5,M,32
766,CSR,Travel Agency,Offline,Comprehensive Plan,No,34,THAILAND,29.0,9.57,F,64
767,CCR,Travel Agency,Offline,Comprehensive Plan,No,150,MALAYSIA,29.0,9.57,F,61
768,ART,Airlines,Online,24 Protect,No,74,PHILIPPINES,24.9,8.71,F,48
769,ART,Airlines,Online,24 Protect,No,3,PHILIPPINES,0.0,8.56,F,48
770,C2B,Airlines,Online,Bronze Plan,No,86,SINGAPORE,74.9,18.73,F,32
771,C2B,Airlines,Online,Bronze Plan,No,3,SINGAPORE,27.0,6.75,M,39
772,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,53.25,13.31,M,29
773,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,20.25,5.06,F,31
774,C2B,Airlines,Online,Bronze Plan,No,15,SINGAPORE,69.0,17.25,M,30
775,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,35.25,8.81,F,28
776,C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62.25,15.56,F,25
777,C2B,Airlines,Online,Silver Plan,No,7,SINGAPORE,62.25,15.56,F,24
778,C2B,Airlines,Online,Silver Plan,No,8,SINGAPORE,83.0,20.75,M,28
779,C2B,Airlines,Online,Gold Plan,No,9,SINGAPORE,89.25,22.31,F,28
780,C2B,Airlines,Online,Annual Silver Plan,Yes,364,SINGAPORE,252.85,63.21,M,30
781,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,202.3,50.58,M,36
908,JWT,Airlines,Online,Value Plan,No,64,INDIA,62.0,24.8,M,118
909,JWT,Airlines,Online,Value Plan,No,21,INDIA,31.0,12.4,M,118
910,KML,Travel Agency,Online,Premier Plan,No,51,INDONESIA,29.0,11.02,M,48
911,RAB,Airlines,Online,Value Plan,No,0,BRUNEI DARUSSALAM,15.0,6.0,F,24
912,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15.0,6.0,M,32
913,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15.0,6.0,M,36
914,RAB,Airlines,Online,Value Plan,No,29,BRUNEI DARUSSALAM,23.0,9.2,M,52
915,JZI,Airlines,Online,Basic Plan,No,6,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,F,40
916,JZI,Airlines,Online,Basic Plan,No,38,THAILAND,22.0,7.7,M,43
917,JZI,Airlines,Online,Basic Plan,No,17,INDIA,22.0,7.7,M,46
918,JZI,Airlines,Online,Basic Plan,No,155,PHILIPPINES,37.0,12.95,F,34
919,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22.0,7.7,F,37
920,JZI,Airlines,Online,Basic Plan,No,4,CHINA,22.0,7.7,M,47
921,JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,30.0,10.5,M,45
922,JZI,Airlines,Online,Basic Plan,No,36,CHINA,35.0,12.25,M,79
923,JZI,Airlines,Online,Basic Plan,No,90,CHINA,44.0,15.4,M,62
924,JZI,Airlines,Online,Basic Plan,No,3,CHINA,22.0,7.7,M,32
925,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,18.0,6.3,M,40
926,JZI,Airlines,Online,Basic Plan,No,6,CHINA,26.0,9.1,M,51
927,JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18.0,6.3,F,27
928,JZI,Airlines,Online,Value Plan,No,65,UNITED STATES,96.0,33.6,F,39
929,JZI,Airlines,Online,Value Plan,No,40,JAPAN,45.0,15.75,M,41
930,JZI,Airlines,Online,Value Plan,No,7,THAILAND,26.0,9.1,M,55
931,JZI,Airlines,Online,Value Plan,No,20,AUSTRALIA,45.0,15.75,F,40
933,CSR,Travel Agency,Offline,Comprehensive Plan,No,67,THAILAND,29.0,9.57,F,51
936,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,20.25,5.06,M,56
1027,JWT,Airlines,Online,Value Plan,No,25,INDIA,60.0,24.0,M,118
1028,KML,Travel Agency,Online,Value Plan,No,8,INDONESIA,22.0,8.36,M,48
1029,KML,Travel Agency,Online,Value Plan,No,37,GERMANY,109.0,41.42,F,48
1030,KML,Travel Agency,Online,Value Plan,No,57,DENMARK,75.0,28.5,M,48
1031,RAB,Airlines,Online,Value Plan,No,30,BRUNEI DARUSSALAM,31.0,12.4,F,31
1032,RAB,Airlines,Online,Value Plan,No,12,BRUNEI DARUSSALAM,15.0,6.0,F,57
1040,JZI,Airlines,Online,Basic Plan,No,28,CHINA,35.0,12.25,F,37
1041,JZI,Airlines,Online,Basic Plan,No,71,"KOREA, REPUBLIC OF",35.0,12.25,F,29
1042,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18.0,6.3,F,20
1043,JZI,Airlines,Online,Basic Plan,No,9,HONG KONG,26.0,9.1,F,39
1044,JZI,Airlines,Online,Basic Plan,No,45,MYANMAR,18.0,6.3,F,31
1045,JZI,Airlines,Online,Basic Plan,No,25,CHINA,35.0,12.25,F,27
1046,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18.0,6.3,M,42
1047,JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18.0,6.3,F,27
1048,JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18.0,6.3,M,42
1049,JZI,Airlines,Online,Basic Plan,No,9,MALAYSIA,18.0,6.3,F,66
1050,JZI,Airlines,Online,Basic Plan,No,40,JAPAN,35.0,12.25,M,34
1051,JZI,Airlines,Online,Basic Plan,No,20,PHILIPPINES,18.0,6.3,F,35
1052,JZI,Airlines,Online,Basic Plan,No,12,MALAYSIA,18.0,6.3,F,40
1053,JZI,Airlines,Online,Basic Plan,No,100,THAILAND,33.0,11.55,M,58
1054,JZI,Airlines,Online,Value Plan,No,32,AUSTRALIA,83.0,29.05,M,52
1055,JZI,Airlines,Online,Value Plan,No,4,UNITED STATES,55.0,19.25,M,25
1056,CBH,Travel Agency,Offline,Comprehensive Plan,No,75,THAILAND,29.0,9.57,M,70
1057,ART,Airlines,Online,24 Protect,No,6,PHILIPPINES,39.85,13.95,M,48
1058,C2B,Airlines,Online,Silver Plan,No,3,SINGAPORE,25.9,6.47,M,28
1059,C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,76.3,19.07,M,70
1194,JWT,Airlines,Online,Value Plan,No,23,INDIA,78.0,31.2,M,118
1195,JWT,Airlines,Online,Value Plan,No,58,INDIA,31.0,12.4,M,118
1196,JWT,Airlines,Online,Value Plan,No,23,INDIA,78.0,31.2,F,118
1197,KML,Travel Agency,Online,Premier Plan,No,16,INDONESIA,83.0,31.54,M,48
1201,JZI,Airlines,Online,Basic Plan,No,37,PHILIPPINES,22.0,7.7,F,45
1202,JZI,Airlines,Online,Basic Plan,No,14,INDONESIA,18.0,6.3,F,25
1203,JZI,Airlines,Online,Basic Plan,No,7,VIET NAM,22.0,7.7,M,72
1204,JZI,Airlines,Online,Basic Plan,No,70,CHINA,40.0,14.0,F,54
1205,JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,37.0,12.95,F,32
1206,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18.0,6.3,M,16
1207,JZI,Airlines,Online,Basic Plan,No,14,INDONESIA,22.0,7.7,M,44
1208,JZI,Airlines,Online,Basic Plan,No,5,THAILAND,22.0,7.7,M,46
1209,JZI,Airlines,Online,Value Plan,No,30,UNITED STATES,121.0,42.35,M,40
1210,JZI,Airlines,Online,Value Plan,No,18,AUSTRALIA,58.0,20.3,F,35
1211,JZI,Airlines,Online,Value Plan,No,34,CHINA,92.0,32.2,F,32
1212,C2B,Airlines,Online,Bronze Plan,No,16,SINGAPORE,27.0,6.75,F,34
1213,C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,0.0,12.94,M,40
1214,C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,44.25,11.06,M,40
1215,C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,36.75,9.19,F,33
1216,C2B,Airlines,Online,Silver Plan,No,21,SINGAPORE,62.25,15.56,M,34
1217,C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,37.5,9.38,M,25
1218,C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,27.75,6.94,M,70
1365,JWT,Airlines,Online,Value Plan,No,17,INDIA,39.0,15.6,M,118
1366,JWT,Airlines,Online,Value Plan,No,21,INDIA,117.0,46.8,M,118
1367,JWT,Airlines,Online,Value Plan,No,23,INDIA,100.0,40.0,F,118
1368,JWT,Airlines,Online,Value Plan,No,14,INDIA,39.0,15.6,F,118
1369,JWT,Airlines,Online,Value Plan,No,24,INDIA,50.0,20.0,F,118
1370,KML,Travel Agency,Online,Premier Plan,No,104,INDONESIA,38.0,14.44,F,48
1371,KML,Travel Agency,Online,Premier Plan,No,5,INDONESIA,38.0,14.44,M,48
1373,RAB,Airlines,Online,Value Plan,No,12,BRUNEI DARUSSALAM,15.0,6.0,M,56
1376,JZI,Airlines,Online,Basic Plan,No,3,INDONESIA,18.0,6.3,M,42
1377,JZI,Airlines,Online,Basic Plan,No,8,MYANMAR,30.0,10.5,M,36
1378,JZI,Airlines,Online,Basic Plan,No,85,THAILAND,22.0,7.7,M,58
1379,JZI,Airlines,Online,Basic Plan,No,31,VIET NAM,22.0,7.7,M,53
1380,JZI,Airlines,Online,Basic Plan,No,103,"KOREA, REPUBLIC OF",35.0,12.25,F,39
1381,JZI,Airlines,Online,Basic Plan,No,51,THAILAND,30.0,10.5,M,59
1382,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18.0,6.3,M,44
1383,JZI,Airlines,Online,Basic Plan,No,2,INDONESIA,18.0,6.3,M,56
1384,JZI,Airlines,Online,Basic Plan,No,103,"KOREA, REPUBLIC OF",35.0,12.25,F,26
1385,JZI,Airlines,Online,Basic Plan,No,27,MALAYSIA,18.0,6.3,F,40
1386,JZI,Airlines,Online,Basic Plan,No,5,CHINA,26.0,9.1,M,47
1387,JZI,Airlines,Online,Value Plan,No,36,NETHERLANDS,109.0,38.15,M,32
1388,JZI,Airlines,Online,Value Plan,No,4,INDONESIA,33.0,11.55,M,51
1389,JZI,Airlines,Online,Value Plan,No,28,CHINA,69.0,24.15,M,32
1390,CSR,Travel Agency,Offline,Comprehensive Plan,No,151,THAILAND,29.0,9.57,F,35
1391,CCR,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29.0,9.57,F,24
1392,CBH,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29.0,9.57,F,56
